,Expected Energy of Entire Decay (keV/atom of parent isotope),Isotope
159Gd,302.92,159Gd
159Hf,1986.022836228601,159Hf
159Ho,0.622,159Ho
159Lu,203.57161409508188,159Lu
159Nd,6387.360000000001,159Nd
159Pm,4324.360000000001,159Pm
159Pr,9160.36,159Pr
159Sm,2542.36,159Sm
159Ta,3025.16855279345,159Ta
159Tm,203.562,159Tm
159W,6260.281648552795,159W
159Yb,203.562,159Yb
15B,2996.29,15B
15C,2996.29,15C
15O,734.55,15O
160Eu,1889.07,160Eu
160Hf,14.203249715850935,160Hf
160Ho,0.0,160Ho
160Lu,6.470004204696484,160Lu
160Nd,6804.77,160Nd
160Pm,4704.77,160Pm
160Pr,9443.77,160Pr
160Re,6152.436355629416,160Re
160Sm,2735.77,160Sm
160Ta,6293.804348788479,160Ta
160Tb,210.29,160Tb
160Tm,0.0,160Tm
160W,18977.697049454204,160W
160Yb,6.47,160Yb
161Er,0.148,161Er
161Eu,1949.55,161Eu
161Gd,714.55,161Gd
161Hf,0.3568654286494878,161Hf
161Lu,0.148,161Lu
161Nd,7724.55,161Nd
161Pm,5564.55,161Pm
161Re,19065.097902382066,161Re
161Sm,3456.55,161Sm
161Tb,155.69,161Tb
161Tm,0.148,161Tm
161W,11098.004775226384,161W
161Yb,0.148,161Yb
162Eu,1482.73,162Eu
162Gd,827.05,162Gd
162Hf,99.55207855172952,162Hf
162Ho,18.74,162Ho
162Lu,99.432,162Lu
162Nd,7429.73,162Nd
162Os,12916.53,162Os
162Pm,4944.73,162Pm
162Re,6378.659287335878,162Re
162Sm,2865.73,162Sm
162Ta,100.7127619755286,162Ta
162Tb,487.25,162Tb
162Tm,98.97,162Tm
162W,4254.053307153708,162W
162Yb,99.432,162Yb
163Er,0.00295,163Er
163Eu,2932.84,163Eu
163Gd,1391.84,163Gd
163Hf,152.133153562,163Hf
163Lu,152.13295,163Lu
163Os,6260.281648552794,163Os
163Pm,6994.84,163Pm
163Re,1246.150941529364,163Re
163Sm,4601.84,163Sm
163Ta,152.23603048306614,163Ta
163Tb,335.17,163Tb
163Tm,2.71295,163Tm
163W,408.9661832874412,163W
163Yb,152.13295,163Yb
164Eu,2907.53,164Eu
164Gd,1344.53,164Gd
164Hf,0.0,164Hf
164Ho,49.760000000000005,164Ho
164Lu,0.0,164Lu
164Os,18486.534700170545,164Os
164Re,6698.638317362783,164Re
164Sm,4710.530000000001,164Sm
164Ta,2729.78,164Ta
164Tb,828.42,164Tb
164Tm,775.355,164Tm
164W,2626.5880834892023,164W
165Dy,440.9,165Dy
165Eu,3802.85,165Eu
165Gd,1972.85,165Gd
165Hf,46.6576,165Hf
165Lu,46.6576,165Lu
165Os,14443.970576617405,165Os
165Re,40.06278913653728,165Re
165Sm,5765.85,165Sm
165Ta,46.6576,165Ta
165Tb,1352.46,165Tb
165Tm,0.0076,165Tm
165W,46.584638530857305,165W
165Yb,46.6576,165Yb
166Dy,789.99,166Dy
166Eu,5768.89,166Eu
166Gd,3930.89,166Gd
166Hf,422.76,166Hf
166Ho,664.94,166Ho
166Ir,12624.805677585588,166Ir
166Lu,414.81,166Lu
166Os,6966.684164992636,166Os
166Pt,20026.53,166Pt
166Re,2846.4092280070213,166Re
166Sm,7852.89,166Sm
166Ta,2751.88,166Ta
166Tb,2756.8900000000003,166Tb
166Tm,9.44,166Tm
166W,3294.9617962274933,166W
167Dy,830.26,167Dy
167Eu,5765.93,167Eu
167Gd,3741.93,167Gd
167Hf,891.19,167Hf
167Ho,189.57,167Ho
167Ir,3282.91819989276,167Ir
167Lu,56.33,167Lu
167Os,2277.134075805107,167Os
167Pt,13242.281648552796,167Pt
167Re,883.5077937936412,167Re
167Ta,891.1899999999999,167Ta
167Tb,2196.9300000000003,167Tb
167W,890.8943772614247,167W
167Yb,1.43,167Yb
168Dy,1117.36,168Dy
168Eu,5406.46,168Eu
168Gd,3238.46,168Gd
168Hf,0.00366,168Hf
168Ho,748.59,168Ho
168Ir,6698.638317362783,168Ir
168Lu,0.0,168Lu
168Os,4804.319063347477,168Os
168Pt,25270.714700170545,168Pt
168Re,4661.190153416,168Re
168Ta,1780.03366,168Ta
168Tb,1717.46,168Tb
168Tm,0.0054799069999999,168Tm
168W,2003.993664416,168W
169Dy,1653.9,169Dy
169Er,99.75,169Er
169Gd,4921.9,169Gd
169Hf,485.56,169Hf
169Ho,495.9,169Ho
169Ir,1532.0442551114418,169Ir
169Lu,3.65,169Lu
169Os,524.5452720296074,169Os
